"_id","amount","balance","description","group","name","ref_id","transaction_date","type"
"5c88d8978d9166396db10e23",-74,7680,"Approved order 5c88d7fb8d9166396db10e1f","TA","intrepidtours","00049835","2019-03-13 17:16:55","withdraw"
"5c88d8889e44fa06907ad745",-124,7754,"Approved order 5c88d8308d9166396db10e21","TA","intrepidtours","00049834","2019-03-13 17:16:40","withdraw"
"5c88d87c9e44fa06907ad742",-259,7878,"Approved order 5c88d8569e44fa06907ad740","TA","intrepidtours","00049833","2019-03-13 17:16:28","withdraw"
"5c88d8569e44fa06907ad741",0,8137,"Make an order for an approval","TA","intrepidtours","5c88d8569e44fa06907ad740","2019-03-13 17:15:50","tentative"
"5c88d8308d9166396db10e22",0,8137,"Make an order for an approval","TA","intrepidtours","5c88d8308d9166396db10e21","2019-03-13 17:15:12","tentative"
"5c88d7fb8d9166396db10e20",0,8137,"Make an order for an approval","TA","intrepidtours","5c88d7fb8d9166396db10e1f","2019-03-13 17:14:19","tentative"
"5c88aa569e44fa06907ad66b",-868,8137,"Approved order 5c874f7b8d9166396db1066d","TA","intrepidtours","00049798","2019-03-13 13:59:34","withdraw"
"5c88aa278d9166396db10d4c",-333,9005,"Approved order 5c87516f9e44fa06907acf0d","TA","intrepidtours","00049796","2019-03-13 13:58:47","withdraw"
"5c88aa0d9e44fa06907ad663",-682,9338,"Approved order 5c8771a78d9166396db10733","TA","intrepidtours","00049795","2019-03-13 13:58:21","withdraw"
"5c88a9aa8d9166396db10b6d",-682,10020,"Approved order 5c8716e18d9166396db104ea","TA","intrepidtours","00049792","2019-03-13 13:56:42","withdraw"
"5c88a9948d9166396db10b68",-124,10702,"Approved order 5c88787b9e44fa06907ad2b1","TA","intrepidtours","00049791","2019-03-13 13:56:20","withdraw"
"5c88787b9e44fa06907ad2b2",0,10826,"Make an order for an approval","TA","intrepidtours","5c88787b9e44fa06907ad2b1","2019-03-13 10:26:51","tentative"
"5c885c939e44fa06907ad221",0,10826,"Final settlement","TA","intrepidtours","00049646","2019-03-13 08:27:47","confirmed"
"5c882c4e8d9166396db10882",0,10826,"Final settlement","TA","intrepidtours","00049422","2019-03-13 05:01:50","confirmed"
"5c8788649e44fa06907ad071",-111,10826,"Approved order 5c8788198d9166396db107cb","TA","intrepidtours","00049646","2019-03-12 17:22:28","withdraw"
"5c8788198d9166396db107cc",0,10937,"Make an order for an approval","TA","intrepidtours","5c8788198d9166396db107cb","2019-03-12 17:21:13","tentative"
"5c8771a78d9166396db10734",0,10937,"Make an order for an approval","TA","intrepidtours","5c8771a78d9166396db10733","2019-03-12 15:45:27","tentative"
"5c8759bb8d9166396db106a3",62,10937,"Final ticket change","TA","intrepidtours","00049417","2019-03-12 14:03:23","confirm_refund"
"5c87516f9e44fa06907acf0e",0,10875,"Make an order for an approval","TA","intrepidtours","5c87516f9e44fa06907acf0d","2019-03-12 13:27:59","tentative"
"5c874f7b8d9166396db1066e",0,10875,"Make an order for an approval","TA","intrepidtours","5c874f7b8d9166396db1066d","2019-03-12 13:19:39","tentative"
"5c8716e18d9166396db104eb",0,10875,"Make an order for an approval","TA","intrepidtours","5c8716e18d9166396db104ea","2019-03-12 09:18:09","tentative"
"5c870ce69e44fa06907acd74",0,10875,"Final settlement","TA","intrepidtours","00048589","2019-03-12 08:35:34","confirmed"
"5c870c528d9166396db104a3",0,10875,"Final settlement","TA","intrepidtours","00048588","2019-03-12 08:33:06","confirmed"
"5c870bd88d9166396db104a0",0,10875,"Final settlement","TA","intrepidtours","00048590","2019-03-12 08:31:04","confirmed"
"5c8633f29e44fa06907acb2a",-370,10875,"Approved order 5c8633d59e44fa06907acb27","TA","intrepidtours","00049441","2019-03-11 17:09:54","withdraw"
"5c8633d59e44fa06907acb28",0,11245,"Make an order for an approval","TA","intrepidtours","5c8633d59e44fa06907acb27","2019-03-11 17:09:25","tentative"
"5c862c3b8d9166396db1026c",-148,11245,"Approved order 5c8613788d9166396db101e3","TA","intrepidtours","00049422","2019-03-11 16:36:59","withdraw"
"5c862c298d9166396db10269",-992,11393,"Approved order 5c86265b9e44fa06907aca96","TA","intrepidtours","00049421","2019-03-11 16:36:41","withdraw"
"5c862c0c9e44fa06907acacf",-930,12385,"Approved order 5c8626868d9166396db1023f","TA","intrepidtours","00049419","2019-03-11 16:36:12","withdraw"
"5c862bf19e44fa06907acacc",-682,13315,"Approved order 5c8628478d9166396db10255","TA","intrepidtours","00049418","2019-03-11 16:35:45","withdraw"
"5c862bad9e44fa06907acac7",-930,13997,"Approved order 5c8629b19e44fa06907acab7","TA","intrepidtours","00049417","2019-03-11 16:34:37","withdraw"
